SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Toebox,Waterproofing,Weight (oz),Widths Available
New Balance Nitrel V4,Neutral,High,New Balance,Plush,,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Medium,,10.3,"{Standard, Wide, Extra Wide}"
Altra Timp 4,Neutral,High,Altra,Plush,Semi-Flexible,30.0,30.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Wide,,10.6,{Standard}
Saucony Endorphin Trail,Neutral,High,Saucony,Balanced,Semi-Rigid,32.5,36.5,4.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,10.4,{Standard}
ASICS Novablast 3 TR,Neutral,High,ASICS,Plush,Balanced,23.0,31.0,8.0,145.00,"{Supination, Underpronation, Neutral}",2022,{},Wide,,8.9,{Standard}
New Balance Fresh Foam Hierro v7,Neutral,High,New Balance,Balanced,Balanced,,,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.6,"{Standard, Wide}"
Merrell Nova,Neutral,High,Merrell,,,26.0,34.0,8.0,110.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",,,10.9,{Standard}
Adidas Ultraboost All Terrain,Neutral,High,Adidas,,,22.0,32.0,10.0,220.00,"{Supination, Underpronation, Neutral}",,{Heel},,Water Repellent,12.0,{Standard}
Xero Shoes Prio,Neutral,High,Xero Shoes,,,7.0,7.0,0.0,90.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",,,7.4,{Standard}
Altra Timp 3,Neutral,High,Altra,Balanced,Balanced,29.0,29.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,10.5,{Standard}
Merrell Agility Peak 4,Neutral,High,Merrell,Balanced,Semi-Flexible,24.0,30.0,6.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,10.8,{Standard}
New Balance 510 v5,Neutral,High,New Balance,Balanced,,,,,75.00,"{Supination, Underpronation, Neutral}",2022,{},Wide,,,"{Standard, Wide, Extra Wide}"
Scarpa Ribelle Run,Neutral,High,Scarpa,Balanced,,20.5,24.5,4.0,159.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Wide,,10.6,{Standard}
On Cloudultra,Neutral,High,On,Firm,Semi-Rigid,20.0,28.0,8.0,180.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,10.7,{Standard}
New Balance Fresh Foam Hierro v6,Neutral,High,New Balance,Balanced,,20.0,28.0,8.0,135.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,11.9,"{Standard, Wide}"
ASICS Gel Excite Trail,Neutral,High,ASICS,Balanced,Balanced,,,8.0,75.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.6,{Standard}
Hoka Zinal,Neutral,High,Hoka,Balanced,Semi-Flexible,18.0,22.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Medium,,8.5,{Standard}
Inov-8 Trailfly G 270,Neutral,High,Inov-8,Balanced,Balanced,12.0,12.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Wide,,9.5,{Standard}
Saucony Xodus Ultra 2,Neutral,,Saucony,Balanced,Semi-Rigid,26.5,32.5,6.0,150.00,{},2023,"{Forefoot, Midfoot, Heel}",Narrow,,9.2,{Standard}
ASICS Trail Scout 2,Neutral,High,ASICS,Balanced,Semi-Rigid,,,10.0,60.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,11.6,"{Standard, Extra Wide}"
Inov-8 TrailFly Ultra G 300 Max,Neutral,High,Inov-8,Plush,Semi-Flexible,24.0,30.0,6.0,190.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,11.9,"{Standard, Wide}"
Altra Mont Blanc,Neutral,High,Altra,Firm,Balanced,,30.0,0.0,180.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Extra Wide,,9.9,{Standard}
Merrell Trail Glove 5,Neutral,High,Merrell,Balanced,Flexible,12.0,12.0,0.0,100.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Wide,,6.9,{Standard}
Salomon Ultra Glide 2,Neutral,,Salomon,Plush,Semi-Flexible,26.0,32.0,6.0,150.00,{},2023,"{Forefoot, Midfoot, Heel}",Wide,,9.2,"{Standard, Wide}"
La Sportiva Jackal,Neutral,High,La Sportiva,Plush,Balanced,19.0,25.0,7.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Medium,,10.6,{Standard}
Nike Wildhorse 8,Neutral,,Nike,Plush,Balanced,,,6.5,130.00,{},2023,"{Forefoot, Midfoot, Heel}",Wide,,10.5,{}
ASICS Gel Sonoma 6,Neutral,High,ASICS,Balanced,Semi-Flexible,,,6.5,80.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,10.4,{}
La Sportiva Karacal,Neutral,High,La Sportiva,Firm,Semi-Rigid,22.0,29.0,7.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,8.8,{Standard}
Adidas Terrex Agravic,Neutral,High,Adidas,,,18.0,25.0,7.0,135.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",,,11.0,{Standard}
Reebok Floatride Energy 4 Adventure,Neutral,High,Reebok,Firm,Balanced,,,10.5,120.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Medium,,9.6,{}
Hoka Torrent 3,Neutral,High,Hoka,Balanced,Balanced,18.0,23.0,5.0,130.00,"{Supination, Underpronation, Neutral}",2023,{},Medium,,8.7,{Standard}
Brooks Divide 2,Neutral,High,Brooks,Firm,Semi-Rigid,17.0,25.0,8.0,100.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Wide,,10.3,{Standard}
Adidas Terrex Agravic Flow 2,Neutral,High,Adidas,Firm,Semi-Rigid,20.0,28.0,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,Water Repellent,11.3,"{Narrow, Standard}"
Salomon Speedcross 4,Neutral,High,Salomon,Balanced,Balanced,20.0,30.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Narrow,,10.9,"{Standard, Wide}"
Altra Mont Blanc BOA,Neutral,High,Altra,Firm,Balanced,30.0,30.0,0.0,210.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Wide,,11.2,{Standard}
La Sportiva Ultra Raptor II,Neutral,High,La Sportiva,Balanced,Semi-Rigid,19.0,28.0,9.0,155.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,12.5,"{Standard, Wide}"
La Sportiva Akyra,Stability,Low,La Sportiva,,,16.0,25.0,9.0,140.00,{Overpronation},,{Heel},,,11.6,"{Standard, Wide}"
Nike Zoom Terra Kiger 8,Neutral,High,Nike,Balanced,Semi-Flexible,,,6.5,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,,{}
ASICS Fuji Lite 2,Neutral,High,ASICS,Plush,Semi-Flexible,26.0,30.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,9.3,"{Narrow, Standard}"
Adidas Terrex Agravic Flow,Neutral,High,Adidas,Plush,Semi-Flexible,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Wide,,11.5,{}
Altra Timp 2,Neutral,High,Altra,,,29.0,29.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Wide,,9.9,{Standard}
New Balance Fresh Foam X More Trail v2,Neutral,High,New Balance,Plush,,29.0,33.0,4.0,165.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Medium,,11.6,"{Standard, Wide}"
La Sportiva Bushido II,Stability,Low,La Sportiva,,,13.0,19.0,6.0,130.00,{Overpronation},2019,"{Forefoot, Midfoot, Heel}",,,10.5,{Standard}
La Sportiva Kaptiva,Neutral,High,La Sportiva,Plush,Semi-Flexible,11.0,17.0,6.0,139.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Narrow,,9.2,{Standard}
Adidas Terrex Agravic Ultra,Neutral,High,Adidas,Firm,Semi-Rigid,,,6.5,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Medium,,11.6,{}
Nike Pegasus Trail 2 GTX,Neutral,High,Nike,Balanced,Balanced,20.0,30.0,10.0,160.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Medium,Waterproof,12.0,{Standard}
On Cloudventure Waterproof,Neutral,High,On,Balanced,Balanced,20.0,26.0,6.0,170.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Medium,,10.4,{Standard}
Brooks Caldera 4,Neutral,High,Brooks,Plush,Balanced,,,4.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Medium,,10.0,{Standard}
Salomon XA Pro 3D GTX,Stability,Low,Salomon,Firm,Semi-Rigid,15.0,27.0,12.0,160.00,{Overpronation},,{Heel},Wide,Waterproof,14.3,"{Standard, Wide}"
Salomon Hypulse,Neutral,High,Salomon,Balanced,Semi-Rigid,23.0,31.5,8.5,100.00,"{Supination, Underpronation, Neutral}",2023,{},Medium,,9.7,{Standard}
ASICS Fuji Lite 3,Neutral,High,ASICS,Balanced,Semi-Flexible,14.0,18.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Medium,,9.2,{Standard}
Merrell Rubato,Neutral,High,Merrell,Plush,Balanced,31.5,31.5,0.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,10.4,{Standard}
Brooks Divide,Neutral,High,Brooks,Plush,Semi-Flexible,,,8.0,100.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Medium,,10.3,{Standard}
Adidas Terrex Two Ultra,Neutral,High,Adidas,Balanced,Balanced,23.0,29.0,6.0,180.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Wide,,11.3,"{Narrow, Standard}"
Saucony Canyon TR,Neutral,High,Saucony,Balanced,Balanced,26.0,34.0,8.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,11.0,{Standard}
Adidas Terrex Two Flow,Neutral,High,Adidas,Balanced,,,,,110.00,"{Supination, Underpronation, Neutral}",2022,{},,,,{Standard}
Salomon XA Pro 3D V8 GTX,Stability,Low,Salomon,Plush,Balanced,,,,150.00,{Overpronation},2020,{},Narrow,,13.1,"{Standard, Wide}"
The North Face Vectiv Eminus,Neutral,High,The North Face,Plush,Semi-Flexible,24.0,30.0,6.0,129.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,10.5,{Standard}
Hoka Speedgoat,Neutral,High,Hoka,Balanced,Rigid,28.0,33.0,5.0,140.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Medium,,9.7,{Standard}
Saucony Xodus 11,Neutral,High,Saucony,,Balanced,27.5,31.5,4.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,11.9,{Standard}
Saucony Mad River TR 2,Neutral,High,Saucony,Balanced,,24.5,28.5,4.0,110.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Wide,,10.6,{Standard}
The North Face Vectiv Infinite,,,The North Face,,,19.0,25.0,6.0,169.00,{},2021,"{Forefoot, Midfoot, Heel}",,Water Repellent,10.8,{Standard}
La Sportiva Cyklon,Neutral,High,La Sportiva,Firm,Semi-Rigid,20.0,28.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,11.0,{Standard}
The North Face Vectiv Enduris,Neutral,High,The North Face,Balanced,Balanced,25.0,31.0,6.0,139.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,11.1,{Standard}
Topo Athletic Ultraventure 3,Neutral,High,Topo Athletic,Balanced,Balanced,30.0,35.0,5.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.2,"{Standard, Wide}"
Saucony Xodus 10,Neutral,High,Saucony,Plush,Semi-Flexible,28.0,32.0,4.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Medium,,11.7,{Standard}
Adidas Runfalcon 2.0 TR,Neutral,High,Adidas,Balanced,Balanced,,,,60.00,"{Supination, Underpronation, Neutral}",2022,{},Wide,,,{Standard}
Brooks Cascadia 16 GTX,Neutral,High,Brooks,Balanced,Balanced,25.0,33.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2022,{},Wide,Waterproof,11.5,{Standard}
Dynafit Alpine,Neutral,High,Dynafit,Balanced,Semi-Flexible,,,6.5,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,9.9,{}
Inov-8 Roclite G 275,Neutral,High,Inov-8,Balanced,Semi-Flexible,,,6.5,135.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Medium,,9.7,{}
On Cloudventure Peak,Neutral,High,On,Balanced,Balanced,19.0,25.0,6.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Medium,,9.2,{Standard}
The North Face Flight Vectiv,Neutral,High,The North Face,Balanced,Semi-Rigid,19.0,25.0,6.0,199.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Narrow,,10.1,{Standard}
Saucony Ride 15 TR,Neutral,High,Saucony,Balanced,Balanced,27.0,35.0,8.0,140.00,"{Supination, Underpronation, Neutral}",2023,{},,,9.2,{Standard}
ASICS Gel Sonoma 6 GTX,Neutral,High,ASICS,Balanced,Semi-Rigid,,,8.0,90.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Narrow,,11.1,{Standard}
Adidas Terrex Agravic Pro,Neutral,High,Adidas,Firm,Semi-Rigid,28.0,32.0,4.0,220.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Medium,,11.3,{Standard}
Xero Shoes Mesa Trail,Neutral,High,Xero Shoes,Balanced,Flexible,,,0.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Wide,,7.6,{Standard}
Hoka Challenger 7 GTX,Neutral,,Hoka,Balanced,Semi-Rigid,26.0,31.0,5.0,160.00,{},2023,"{Forefoot, Midfoot, Heel}",Narrow,Water Repellent,9.0,{Standard}
Adidas Response Trail,Neutral,High,Adidas,,,20.0,30.0,10.0,140.00,"{Supination, Underpronation, Neutral}",,{Heel},,,12.0,"{Standard, Wide}"
Scarpa Spin Ultra,Neutral,High,Scarpa,Balanced,Balanced,18.0,24.0,6.0,110.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.9,{Standard}
Dynafit Ultra 100,Neutral,High,Dynafit,Plush,Semi-Flexible,,,6.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Medium,,11.6,{Standard}
Salomon X-Mission 3,Neutral,High,Salomon,,,17.0,27.0,10.0,115.00,"{Supination, Underpronation, Neutral}",,{Heel},,,10.2,{Standard}
ASICS Gel Kahana 8,Stability,Low,ASICS,,,,,10.5,85.00,{Overpronation},,{Heel},,,11.9,{}
Merrell MTL Long Sky 2,Neutral,High,Merrell,Firm,Balanced,19.5,23.5,4.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Wide,,9.5,{Standard}
