SHOE_NAME,Brand,Closure,Collaboration,Designed By,Embellishment,Inspired From,Lace Type,MSRP (USD),Origin,Print,Release Date,Season,Style,Top,Weight (oz)
New Balance 997H,New Balance,{Laces},,Steven Smith,,Running,"{Cotton Lace, Round Lace, Synthetic Lace, Flat Lace}",90.00,,{},2019,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
New Balance 2002R,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",140.00,Asian,{},2021,"{Spring, Summer}","{Retro, Dad, Sporty, Deconstructed}",Low,
Vans Slip-On,Vans,{Slip-On},,,Embroidered,Skate,{No Lace},50.00,,"{Floral, Tiger, Tie Dye, Flame, Checkered, Animal, Graphic}",,"{Spring, Summer}","{Classic, Minimalist}",Low,
Vans Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,"{Leopard, Floral, Rainbow, Tie Dye, Flame, Checkered, Animal, Graphic}",,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Reebok Club C 85,Reebok,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Vans UltraRange EXO,Vans,{Laces},,,,,"{Cotton Lace, Flat Lace}",90.00,,"{Floral, Checkered}",2020,"{Spring, Summer, Fall}",{Sporty},Low,
Nike Air Max Plus,Nike,{Laces},,,,Running,{Round Lace},160.00,,{},,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
PUMA RS-X,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Nike Air Max 1,Nike,{Laces},,Tinker Hatfield,Sequin,Running,"{Cotton Lace, Flat Lace}",140.00,,{},2019,"{Spring, Summer}","{Classic, Sporty}",Low,
Nike Waffle One,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2021,{Summer},"{Retro, Sporty}",Low,
Adidas Ozelia,Adidas,{Laces},,,,Running,{Round Lace},100.00,,{},2021,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,11.0
Converse Run Star Hike,Converse,{Laces},,JW Anderson,,Hiking,"{Cotton Lace, Flat Lace}",110.00,,"{Leopard, Camouflage, Animal}",2020,"{Spring, Summer}","{Retro, Sporty, Platform, Chunky}",High,
New Balance 237,New Balance,{Laces},,,,Running,{Flat Lace},75.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,27.6
Nike Dunk Low,Nike,{Laces},,Peter Moore,,Basketball,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
New Balance 57/40,New Balance,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",100.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air Max Dawn,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2022,"{Spring, Summer}",{Sporty},Low,
Adidas Retropy E5,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Vans Authentic,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",50.00,,"{Floral, Checkered, Graphic}",,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
New Balance XC72,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,USA,{},2021,"{Spring, Summer, Fall}","{Retro, Sporty, Futuristic}",Low,
Nike Court Legacy,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",60.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Waffle Debut,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",70.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Air Jordan 1 Low,Jordan,{Laces},,Peter Moore,,Basketball,"{Cotton Lace, Flat Lace}",90.00,Asian,{},2021,"{Spring, Summer}","{Classic, Sporty}",Low,
Nike Air VaporMax Plus,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",200.00,,{Rainbow},,"{Spring, Summer, Fall}","{Retro, Sporty, Futuristic}",Low,
Air Jordan 3 Retro,Jordan,{Laces},,,,Basketball,{},200.00,,{},,"{Spring, Summer}",{Sporty},Mid,18.6
Nike Air Force 1 Low,Nike,{Laces},,Bruce Kilgore,,Basketball,"{Cotton Lace, Round Lace, Synthetic Lace, Flat Lace, Toggle Lace}",90.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Killshot 2,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",90.00,Asian,{},2019,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Air Max Pre-Day,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,Asian,{},2021,"{Spring, Summer}",{Sporty},Low,
New Balance 515,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",70.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Nike Air Huarache,Nike,{Laces},,Tinker Hatfield,,Running,"{Synthetic Lace, Flat Lace}",120.00,Asian,{},,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
UGG Neumel Boot,UGG,{Laces},,,,,{Round Lace},130.00,Asian,{},2022,"{Spring, Fall}",{},Mid,
New Balance 990,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",165.00,USA,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Adidas Busenitz,Adidas,{Laces},Dennis Busenitz,,,Skate,"{Cotton Lace, Flat Lace}",80.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Adidas Continental 80,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",110.00,,"{Snakeskin, Animal}",,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
PUMA Suede Classic,PUMA,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",70.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Veja Campo,Veja,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",175.00,,{},2021,"{Spring, Summer}",{Minimalist},Low,
Nike Tanjun,Nike,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",65.00,Asian,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Air Max Excee,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
ASICS Gel Lyte III,ASICS,{Laces},,Shigeyuki Mitsui,,Running,"{Synthetic Lace, Flat Lace}",120.00,,{Camouflage},,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Free Run 2,Nike,"{Laces, Slip-On}",,,,Running,"{Cotton Lace, No Lace, Flat Lace}",110.00,Asian,{},2021,"{Spring, Summer}",{Sporty},Low,
Reebok Classic Leather,Reebok,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Nike React Vision,Nike,{Laces},,,,Running,{Round Lace},140.00,Asian,{},2020,{Summer},"{Sporty, Futuristic, Chunky}",Low,
Air Jordan 2 Retro,Jordan,{Laces},,,,Basketball,{Flat Lace},500.00,,{},,"{Spring, Summer}",{Sporty},High,
Nike Air Max SC,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas ZX Flux,Adidas,{Laces},,Jacques Chassaing,,Running,"{Cotton Lace, Flat Lace}",90.00,,"{Camouflage, Floral}",,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Adidas Forum Mid,Adidas,"{Velcro, Laces}",,Jacques Chassaing,,Basketball,"{Cotton Lace, No Lace, Flat Lace}",110.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Mid,
Adidas Swift Run,Adidas,"{Laces, Slip-On}",,,,Running,"{Synthetic Lace, No Lace, Flat Lace}",85.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Jordan Max Aura 4,Jordan,{},,,,Basketball,{Round Lace},125.00,,{},2022,"{Spring, Summer}",{Sporty},Low,14.6
Nike Blazer Mid 77,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,Asian,{},2021,"{Spring, Fall}","{Classic, Sporty, Minimalist}",Mid,
DC Villain,DC,{Slip-On},,,,Casual,{No Lace},60.00,,{},2019,"{Spring, Summer}","{Minimalist, Dressy}",Low,
Nike Court Vision Low,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",65.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Vans Checkerboard Slip-On,Vans,{Slip-On},,,,Skate,{No Lace},55.00,,{Checkered},,"{Spring, Summer}",{Retro},Low,
Nike Air Max 2090,Nike,{Laces},,Dylan Raasch,,Running,"{Synthetic Lace, Flat Lace}",150.00,Asian,{},2020,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Adidas Niteball,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Converse Run Star Motion,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,,{},2021,"{Spring, Summer}","{Platform, Futuristic, Chunky}",High,
Adidas Grand Court,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",65.00,Asian,"{Leopard, Animal}",2019,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Vans Half Cab,Vans,{Laces},Steve Caballero,,,Skate,"{Cotton Lace, Flat Lace}",70.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty}",Mid,
Nike Air Max 2021,Nike,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",160.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Nike SB Force 58,Nike,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,Asian,{},2021,"{Spring, Summer}",{Sporty},Low,
Adidas Lite Racer Adapt 3.0,Adidas,{Slip-On},,,,Running,{No Lace},65.00,,"{Camouflage, Graphic}",2021,{Summer},"{Sporty, Minimalist}",Low,
Nike Air Trainer 1,Nike,"{Velcro, Laces}",,,,Training,"{Cotton Lace, No Lace, Flat Lace}",110.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Mid,
ASICS Gel 1130,ASICS,{Laces},,,,Running,{Round Lace},85.00,,{},2022,"{Spring, Summer}","{Retro, Dad, Sporty}",Low,12.2
Nike Air Force 1 07 LV8,Nike,{Laces},,Bruce Kilgore,,Basketball,"{Cotton Lace, Flat Lace}",110.00,Asian,{Camouflage},,"{Spring, Summer, Fall}","{Retro, Sporty, Platform}",Low,
Nike Air Presto,Nike,"{Laces, Slip-On}",,Tobie Hatfield,,Running,"{Round Lace, Synthetic Lace, No Lace}",130.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Nike Air Griffey Max 1,Nike,"{Velcro, Laces}",,,,,"{Round Lace, No Lace}",170.00,,{},2022,"{Fall, Winter}","{Retro, Sporty}",Low,13.8
Onitsuka Tiger Mexico 66,Onitsuka Tiger,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",95.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Adidas Retropy F2,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
PUMA Future Rider,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas Forum 84 Low,Adidas,"{Velcro, Laces}",,,,Basketball,"{Cotton Lace, No Lace, Flat Lace}",100.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Spark,Nike,{Laces},,,,,{Round Lace},135.00,,{},2022,{Fall},{Classic},Low,
Saucony Shadow 6000,Saucony,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,12.9
Nike Court Vision Mid,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",75.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty}",Mid,
PUMA Suede Classic+,PUMA,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",65.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Vans Era,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",50.00,,"{Leopard, Floral, Flame, Animal, Graphic}",,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Merrell Jungle Moc,Merrell,{Slip-On},,,,Hiking,{No Lace},80.00,,{},,"{Spring, Fall}",{Minimalist},Low,
Adidas adiFOM Q,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",200.00,Asian,{},2022,{Fall},{Futuristic},Low,
ASICS Gel Lyte,ASICS,{Laces},,,,Running,"{Cotton Lace, Synthetic Lace, Flat Lace}",110.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air Max Genome,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",170.00,Asian,{},2021,"{Spring, Summer}",{Sporty},Low,
Nike Daybreak,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Dunk High,Nike,{Laces},,Peter Moore,,Basketball,"{Cotton Lace, Flat Lace}",100.00,,{},,"{Spring, Fall}","{Classic, Sporty}",High,
New Balance 574 Core,New Balance,{Laces},,Steven Smith,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
ASICS Japan S,ASICS,{Laces},,,,Basketball,{},70.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Vans Chukka Low,Vans,{Laces},,,,Skate,{Flat Lace},65.00,,{Camouflage},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Adidas Oznova,Adidas,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",130.00,,{},2022,"{Spring, Fall}","{Sporty, Futuristic, Chunky}",Low,
Adidas Adi2000,Adidas,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",110.00,,{},2022,"{Spring, Summer}",{},Low,
Nike Air Max SYSTM,Nike,{Laces},,,,,"{Cotton Lace, Flat Lace}",100.00,,{},2022,{},"{Retro, Classic, Sporty, Minimalist}",Low,
Nike Space Hippie 04,Nike,"{Laces, Slip-On}",,,,,"{Cotton Lace, Round Lace, No Lace}",130.00,,{},2020,"{Spring, Summer}","{Sporty, Sock, Chunky}",Low,
Nike Air Force 1 07,Nike,{Laces},,Bruce Kilgore,,Basketball,"{Cotton Lace, Flat Lace}",90.00,Asian,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Saucony Shadow 5000,Saucony,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty}",Low,11.0
New Balance 306,New Balance,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",85.00,,{},2020,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Vans Old Skool Platform,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,"{Floral, Rainbow, Checkered}",,"{Spring, Summer}","{Retro, Sporty, Platform}",Low,
Air Jordan Dub Zero,Jordan,{Laces},,,,Basketball,{Flat Lace},150.00,,{},,"{Spring, Summer, Fall}",{Sporty},Mid,
Adidas Supercourt,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2019,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Nike Go FlyEase,Nike,{Slip-On},,,,,{No Lace},120.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Futuristic}",Low,8.0
Adidas ZX 8000,Adidas,{Laces},,Jacques Chassaing,,Running,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2020,"{Spring, Fall}","{Retro, Sporty}",Low,
Vans Lowland CC,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",80.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,10.0
PUMA Roma,PUMA,{Laces},,,,,"{Cotton Lace, Flat Lace}",60.00,,{},,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Air Max 720,Nike,{Laces},,Dylan Raasch,,Running,"{Cotton Lace, Flat Lace}",180.00,Asian,"{Rainbow, Tie Dye}",2019,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Adidas ZX 2K Boost,Adidas,"{Laces, Slip-On}",,,,Running,"{Round Lace, Synthetic Lace, No Lace}",150.00,,{},2020,{Summer},"{Sporty, Futuristic, Chunky}",Low,
Vans Sport,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,"{Leopard, Checkered, Animal}",2020,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,18.0
Adidas Hyperturf,Adidas,{Laces},,,,Hiking,"{Cotton Lace, Round Lace}",140.00,,{},,{Winter},{Sporty},Low,
Vans Kyle Walker Pro,Vans,{Laces},Kyle Walker,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Nike Blazer Mid 77 Vintage,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2020,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Mid,
Teva ReEMBER,Teva,{Slip-On},,,,Hiking,{No Lace},75.00,,{Tie Dye},2021,"{Spring, Summer}",{Sporty},Low,
Air Jordan 13 Retro,Jordan,{Laces},,,,Basketball,{},190.00,,{},,"{Spring, Summer, Fall}",{Sporty},High,16.1
Nike Air Vapormax 2021 FK,Nike,{Laces},,,,Running,{Round Lace},200.00,Asian,{},2021,{Summer},"{Sporty, Sock, Futuristic}",Low,
ECCO Soft 7 Sneaker,ECCO,{Laces},,,,Casual,"{Synthetic Lace, Flat Lace}",150.00,,{},,"{Spring, Summer, Fall}","{Minimalist, Dressy}",Low,
Reebok Classic Nylon,Reebok,{Laces},,,,Running,{},60.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Reebok Club C Revenge,Reebok,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",70.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas ZX 22 Boost,Adidas,{Laces},,,,Running,"{Cotton Lace, Round Lace}",120.00,Asian,{},2022,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,15.9
Nike Air Max 90 Terrascape,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Flat Lace}",140.00,,{},2022,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
Adidas Campus,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Vans SK8-Low,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,{Checkered},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike M2K Tekno,Nike,{Laces},,,,Training,"{Synthetic Lace, Flat Lace}",100.00,Asian,{},,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Adidas Nite Jogger,Adidas,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",130.00,,{},2019,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air Monarch IV,Nike,{Laces},,,,Training,"{Synthetic Lace, Flat Lace}",75.00,,{},,"{Spring, Fall}","{Retro, Dad, Sporty, Chunky}",Low,15.0
Nike Blazer Mid 77 Jumbo,Nike,{Laces},,,,,{Cotton Lace},110.00,Asian,{},2022,{},{Classic},Mid,
Air Jordan 5 Retro,Jordan,{Laces},,,,Basketball,{Flat Lace},190.00,,{},,"{Spring, Summer}",{Sporty},High,16.5
Nike Air More Uptempo '96,Nike,{Laces},,,,Basketball,{Round Lace},160.00,Asian,{Camouflage},2021,"{Spring, Fall}","{Classic, Sporty, Chunky}",Mid,
Adidas Pro Model,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Fall}","{Classic, Sporty, Minimalist}",High,17.4
Adidas Samba OG,Adidas,{Laces},,,,Soccer,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Adidas Web Boost,Adidas,{Laces},,,,Running,{},160.00,,{},2022,"{Spring, Summer, Fall}",{Futuristic},Low,
Adidas Top Ten Hi,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty}",High,
Nike Air Force 1 07 Premium,Nike,{Laces},,,,Basketball,{Flat Lace},130.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Reebok Club C 85 Vintage,Reebok,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Space Hippie 01,Nike,{Laces},,,,,"{Round Lace, Synthetic Lace}",130.00,Asian,{},2020,"{Spring, Summer}","{Sporty, Sock, Futuristic, Chunky}",Low,
Lakai Cambridge,Lakai,{},,,,Skate,{},68.00,,{},2019,{},{},Low,
Adidas Tyshawn,Adidas,{Laces},Tyshawn Jones,,,Skate,{Flat Lace},85.00,,{},2020,"{Spring, Summer, Fall}",{Sporty},Mid,
Merrell Alpine Sneaker,Merrell,{Laces},,,,Hiking,"{Cotton Lace, Flat Lace}",90.00,,{Tie Dye},2020,"{Spring, Summer}","{Retro, Sporty}",Low,26.5
Nike Air Max 270 React,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",160.00,Asian,{},2020,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Nike Air Max Flyknit Racer,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",160.00,,{},2022,"{Spring, Summer}","{Sporty, Futuristic}",Low,12.8
Hey Dude Wally,Hey Dude,"{Laces, Slip-On}",,,,Casual,"{Round Lace, No Lace, Elastic Lace}",60.00,,{},2022,"{Spring, Summer}",{Minimalist},Low,6.0
Hey Dude Wally Sox,Hey Dude,{Slip-On},,,,Casual,{No Lace},60.00,,{},2022,"{Spring, Summer}","{Minimalist, Dressy}",Low,
New Balance 990 v5,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",185.00,USA,{},2019,"{Spring, Summer, Fall}","{Retro, Dad, Sporty, Chunky}",Low,13.7
ASICS Gel Lyte V,ASICS,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Adidas Swift Run 22,Adidas,"{Laces, Slip-On}",,,,Running,"{No Lace, Flat Lace}",90.00,Asian,{},2022,"{Spring, Summer, Fall, Winter}","{Sporty, Minimalist}",Low,11.0
New Balance 997,New Balance,{Laces},,Steven Smith,,Running,"{Cotton Lace, Flat Lace}",170.00,USA,{},,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
Veja V-10,Veja,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",150.00,,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike SB Nyjah Free 2,Nike,{Laces},Nyjah Huston,,,Skate,{},95.00,Asian,{},2020,"{Spring, Summer}","{Retro, Minimalist}",Low,
Adidas ZX 750,Adidas,{Laces},,Jacques Chassaing,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air Max Terrascape 97,Nike,{Laces},,,,Running,{Round Lace},185.00,,{},2022,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
Etnies Marana,Etnies,{},,,,Skate,{},80.00,,{},2019,{},{},Low,
