SHOE_NAME,ARCH_TYPE,BRAND,CUSHIONING,DISTANCE,FEATURES,FLEXIBILITY,FOREFOOT_HEIGHT,HEEL_HEIGHT,HEEL_TOE_DROP,MSRP,PRONATION,RELEASE_DATE,STRIKE_PATTERN,TECHNOLOGY,TERRAIN,TOEBOX,USE,WATERPROOFING,WEIGHT,WIDTH
Saucony Endorphin Speed,High arch,Saucony,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Comfortable",Moderate (3/5),27.5mm,35.5mm,8mm,$160,"Underpronation, Supination, Neutral Pronation",2020,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,Treadmill,N/A,7.8oz,Normal
ASICS Gel Nimbus 24,High arch,ASICS,Balanced (2/3),Long distance,"Cushioned, Comfortable",Moderate (3/5),16mm,26mm,10mm,$160,"Underpronation, Supination, Neutral Pronation",2021,Heel strike,N/A,Road,Wide,"All-day wear, Walking, Jogging",N/A,10.2oz,"Normal, Wide, X-Wide"
Hoka Bondi 7,High arch,Hoka,Plush (3/3),"Marathon, Long distance","Cushioned, Breathable, Comfortable",Moderate (3/5),29mm,33mm,4mm,$150,"Underpronation, Supination, Neutral Pronation",2020,Forefoot/Midfoot strike,N/A,Road,Narrow,"Walking, All-day wear, Treadmill, Jogging",N/A,11.4oz,"Normal, Wide, X-Wide"
Hoka Bondi 8,High arch,Hoka,Plush (3/3),N/A,"Cushioned, Orthotic friendly, Breathable, Comfortable",Stiff (2/5),35mm,39mm,4mm,$165,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Forefoot/Midfoot strike,N/A,Road,Narrow,"All-day wear, Walking, Jogging",N/A,11oz,"Normal, Wide, X-Wide"
On Cloudmonster,High arch,On,Balanced (2/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Sustainable, Comfortable",Moderate (3/5),24mm,30mm,6mm,$170,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Walking, Treadmill, Jogging",N/A,9.7oz,"Narrow, Normal"
Nike React Infinity Run Flyknit 2,High arch,Nike,Balanced (2/3),Long distance,"Cushioned, Breathable, Comfortable",Flexible (4/5),24mm,33mm,7mm,$160,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Walking, All-day wear, Treadmill, Jogging",N/A,10.7oz,"Narrow, Normal"
Brooks Glycerin 19,High arch,Brooks,Plush (3/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Removable insole, Comfortable",Flexible (4/5),26mm,36mm,10mm,$150,"Underpronation, Supination, Neutral Pronation",2020,Heel strike,N/A,Road,Wide,"Walking, All-day wear, Treadmill, Jogging",N/A,10.2oz,"Narrow, Normal, Wide"
Hoka Arahi 6,Low arch,Hoka,Firm (1/3),Long distance,"Cushioned, Orthotic friendly, Breathable, Sustainable, Comfortable",Moderate (3/5),30mm,35mm,5mm,$140,Overpronation,"2022, Hide previous models",Forefoot/Midfoot strike,N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,9.3oz,"Normal, Wide"
ASICS Novablast 3,High arch,ASICS,Plush (3/3),"Marathon, Long distance","Cushioned, Breathable, Sustainable, Comfortable",Moderate (3/5),23mm,31mm,8mm,$140,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Treadmill, Jogging",N/A,8.9oz,Normal
New Balance FuelCell,High arch,New Balance,Firm (1/3),Long distance,Cushioned,Flexible (4/5),17mm,23mm,6mm,$160,"Underpronation, Supination, Neutral Pronation","2018 or older, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Narrow,N/A,N/A,10.4oz,"Normal, Wide"
Nike Zoom Fly 5,High arch,Nike,Firm (1/3),Long distance,"Cushioned, Orthotic friendly, Carbon fiber plate",Very stiff (1/5),33mm,41mm,8mm,$160,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Forefoot/Midfoot strike,N/A,Road,Medium,Jogging,N/A,10.1oz,Normal
Saucony Ride 15,High arch,Saucony,Balanced (2/3),Long distance,"Cushioned, Orthotic friendly, Breathable, For beginners, Removable insole, Comfortable",Flexible (4/5),27mm,35mm,8mm,$130,"Underpronation, Supination, Neutral Pronation",2022,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,9oz,"Normal, Wide"
Adidas Alphabounce,High arch,Adidas,Balanced (2/3),N/A,"Cushioned, Breathable, Comfortable, Cheap",Flexible (4/5),12mm,22mm,10mm,$100,"Underpronation, Supination, Neutral Pronation","2018 or older, Hide previous models",Heel strike,N/A,Road,Medium,"Walking, All-day wear, Treadmill, Jogging",N/A,10.5oz,Normal
ASICS Gel Kayano 28,Low arch,ASICS,Balanced (2/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Removable insole, Comfortable",Flexible (4/5),13mm,23mm,10mm,$160,Overpronation,2021,Heel strike,N/A,Road,Wide,"All-day wear, Walking, Treadmill, Jogging",N/A,10.8oz,"Narrow, Normal, Wide, X-Wide"
ASICS Gel Nimbus 25,High arch,ASICS,Plush (3/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Sustainable",Moderate (3/5),33.5mm,41.5mm,8mm,$160,"Underpronation, Supination, Neutral Pronation","New, Hide previous models",Heel strike,"AHARPLUS, FF Blast",Road,Medium,"All-day wear, Walking, Jogging",N/A,10.5oz,"Normal, Wide, X-Wide"
ASICS Novablast 2,High arch,ASICS,Plush (3/3),Long distance,"Cushioned, Orthotic friendly, Breathable, Removable insole, Comfortable",Moderate (3/5),22mm,30mm,8mm,$130,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Treadmill, Jogging",N/A,9.9oz,Normal
Saucony Triumph 20,High arch,Saucony,Plush (3/3),Long distance,"Cushioned, Breathable, Comfortable",N/A,27mm,37mm,10mm,$160,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,9.7oz,"Normal, Wide"
Brooks Ghost 13,High arch,Brooks,Balanced (2/3),Long distance,"Cushioned, Breathable, Comfortable",Flexible (4/5),20mm,32mm,12mm,$130,"Underpronation, Supination, Neutral Pronation",2020,Heel strike,N/A,Road,Medium,"All-day wear, Treadmill, Jogging",N/A,10.1oz,"Narrow, Normal, Wide, X-Wide"
Saucony Endorphin Pro,High arch,Saucony,Balanced,"Long distance, Marathon","Cushioned, Comfortable, Carbon fiber plate, Breathable, Expensive",Stiff,N/A,N/A,5mm - 8mm,$200,"Neutral pronation, Supination, Underpronation",2020,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,Treadmill,N/A,7.5oz,N/A
Saucony Triumph 19,High arch,Saucony,Balanced (2/3),Long distance,"Cushioned, Breathable, Comfortable",N/A,24.5mm,32.5mm,8mm,$150,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Treadmill, Jogging",N/A,10.2oz,"Normal, Wide"
Hoka Kawana,High arch,Hoka,Balanced (2/3),N/A,"Cushioned, Breathable, Comfortable",Moderate (3/5),25mm,30mm,5mm,$140,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Forefoot/Midfoot strike,N/A,Road,Medium,Jogging,N/A,10oz,Normal
On Cloudflyer,Low arch,On,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Comfortable",Flexible (4/5),20mm,27mm,7mm,$160,Overpronation,2018 or older,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,Jogging,N/A,10oz,"Normal, Wide"
Adidas 4DFWD,High arch,Adidas,Plush,N/A,"Cushioned, Comfortable, Orthotic friendly, Expensive, Sustainable",Flexible,N/A,N/A,9mm - 12mm,$200,"Neutral pronation, Supination, Underpronation",2021,Heel strike,N/A,Road,Medium,"Jogging, Walking, All-day wear, Treadmill",N/A,11.5oz,N/A
ASICS Superblast,High arch,ASICS,Balanced (2/3),"Marathon, Long distance, Ultra","Cushioned, Breathable, For beginners, Comfortable, Expensive",Stiff (2/5),35.5mm,45.5mm,10mm,$220,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",N/A,N/A,Road,Medium,"Treadmill, Jogging",N/A,8.4oz,"Normal, Wide"
On Cloudstratus,Low arch,On,Firm (1/3),"Marathon, Long distance","Cushioned, Breathable, Comfortable",Flexible (4/5),20mm,28mm,8mm,$170,Overpronation,2019,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"All-day wear, Treadmill, Jogging",N/A,11.1oz,Normal
Saucony Endorphin Pro 2,High arch,Saucony,Balanced (2/3),"Marathon, Long distance","Cushioned, Carbon fiber plate, Expensive",Very stiff (1/5),27.5mm,35.5mm,8mm,$200,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,Race,N/A,7.9oz,Normal
Nike React Pegasus Trail 4,High arch,Nike,Balanced (2/3),Long distance,"Cushioned, Orthotic friendly, Breathable, For beginners, Removable insole, Comfortable",Flexible (4/5),26mm,36mm,10mm,$140,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Trail,Medium,"Walking, Hiking",N/A,10.4oz,"Normal, Wide"
Nike Air Zoom Pegasus 38,High arch,Nike,Balanced (2/3),"Marathon, Long distance","Cushioned, Orthotic friendly, For beginners, Removable insole, Comfortable",Stiff (2/5),17.5mm,27.5mm,10mm,$120,"Underpronation, Supination, Neutral Pronation",2021,Heel strike,N/A,Road,Medium,"Walking, All-day wear, Jogging",N/A,10oz,"Narrow, Normal, Wide, X-Wide"
Saucony Guide 15,Low arch,Saucony,Balanced (2/3),Long distance,"Cushioned, Sockless wear, Orthotic friendly, Breathable, Sustainable, Removable insole, Comfortable",Flexible (4/5),27mm,35mm,8mm,$140,Overpronation,2022,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Walking, All-day wear, Treadmill, Jogging",N/A,9.5oz,"Normal, Wide"
Hoka Mach 4,High arch,Hoka,Balanced (2/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Removable insole, Comfortable",Flexible (4/5),24mm,29mm,5mm,$130,"Underpronation, Supination, Neutral Pronation",2021,Forefoot/Midfoot strike,N/A,Road,Medium,"Walking, Treadmill, Jogging",N/A,8.2oz,Normal
Nike React Phantom Run Flyknit 2,High arch,Nike,Balanced (2/3),Long distance,"Cushioned, Sockless wear, Breathable, Comfortable",Flexible (4/5),19mm,29mm,10mm,$140,"Underpronation, Supination, Neutral Pronation","2020, Hide previous models",Heel strike,N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,9.5oz,Normal
New Balance Fresh Foam Roav,High arch,New Balance,Balanced (2/3),N/A,"Cushioned, Breathable, Comfortable, Cheap",Flexible (4/5),N/A,N/A,8mm,$80,"Underpronation, Supination, Neutral Pronation",2019,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,Jogging,N/A,9.9oz,"Normal, Wide"
Salomon Speedcross 5,High arch,Salomon,Firm,"Long distance, Marathon","Cushioned, Breathable, Winter",Flexible,N/A,N/A,9mm - 12mm,$130,"Neutral pronation, Supination, Underpronation",2019,Heel strike,N/A,Trail,Medium,"Off-trail, Hiking, Mud, Spartan race (OCR), Snow",N/A,11.6oz,N/A
Hoka Speedgoat 5,High arch,Hoka,Plush (3/3),N/A,"Cushioned, Breathable, Comfortable",Moderate (3/5),29mm,33mm,4mm,$155,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Forefoot/Midfoot strike,Vibram,Trail,Medium,"Hiking, Walking",N/A,9.7oz,"Normal, Wide"
Nike ZoomX Vaporfly NEXT% 2,High arch,Nike,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Carbon fiber plate, Comfortable, Expensive",Very stiff (1/5),30.9mm,38.6mm,7.7mm,$225,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,N/A,"Race, Treadmill",N/A,6.9oz,Normal
Brooks Levitate 5,High arch,Brooks,Firm (1/3),N/A,Cushioned,Moderate (3/5),21mm,29mm,8mm,$150,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Wide,"Walking, Jogging",N/A,11oz,Normal
Brooks Hyperion Tempo,High arch,Brooks,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Comfortable",Flexible (4/5),20mm,28mm,8mm,$150,"Underpronation, Supination, Neutral Pronation","2020, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Narrow,Treadmill,N/A,7.3oz,Normal
Nike Zoom Fly 4,High arch,Nike,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Rock plate, Carbon fiber plate, Comfortable",N/A,N/A,36mm,8mm,$160,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Narrow,Treadmill,N/A,8.8oz,Normal
On Cloud X,High arch,On,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable",Flexible (4/5),22mm,28mm,6mm,$140,"Underpronation, Supination, Neutral Pronation",2018 or older,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Walking, All-day wear",N/A,8.1oz,Normal
Adidas 4DFWD 2,High arch,Adidas,Plush,N/A,"Cushioned, Comfortable, Orthotic friendly, Expensive, Sustainable",Flexible,N/A,N/A,9mm - 12mm,$200,"Neutral pronation, Supination, Underpronation","2022, Hide previous models",Heel strike,N/A,Road,Narrow,"Jogging, Walking, All-day wear, Treadmill",N/A,12.4oz,N/A
Saucony Ride 14,High arch,Saucony,Balanced,"Long distance, Marathon","Cushioned, Comfortable, Breathable, For beginners",Moderate,N/A,N/A,5mm - 8mm,$130,"Neutral pronation, Supination, Underpronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Jogging, Walking, All-day wear, Treadmill",N/A,9.9oz,N/A
Saucony Endorphin Speed 3,High arch,Saucony,Balanced (2/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Comfortable",Moderate (3/5),28mm,36mm,8mm,$160,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Wide,Race,N/A,8.1oz,"Normal, Wide"
PUMA Velocity Nitro 2,High arch,PUMA,Balanced (2/3),N/A,"Cushioned, Comfortable",Flexible (4/5),23.5mm,33.5mm,10mm,$120,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Road,Wide,Jogging,N/A,9.1oz,"Normal, Wide"
ASICS Gel Nimbus 23,High arch,ASICS,Balanced (2/3),"Marathon, Long distance","Cushioned, Comfortable",Flexible (4/5),15mm,25mm,10mm,$150,"Underpronation, Supination, Neutral Pronation",2020,Heel strike,N/A,Road,Wide,"Walking, All-day wear, Jogging",N/A,10.9oz,"Normal, Wide, X-Wide"
Brooks Adrenaline GTS 21,Low arch,Brooks,Plush (3/3),Long distance,"Cushioned, Orthotic friendly, Breathable, For beginners, Removable insole, Comfortable",Moderate (3/5),18mm,30mm,12mm,$130,Overpronation,2020,Heel strike,N/A,Road,Wide,"Walking, All-day wear, Treadmill, Jogging",N/A,10.4oz,"Narrow, Normal, Wide, X-Wide"
Hoka Rocket X,High arch,Hoka,Balanced (2/3),"Marathon, Long distance","Cushioned, Breathable, Carbon fiber plate, Comfortable",Moderate (3/5),25mm,30mm,5mm,$180,"Underpronation, Supination, Neutral Pronation",2020,Forefoot/Midfoot strike,N/A,Road,Wide,"Race, Treadmill",N/A,7.4oz,Normal
Adidas Alphabounce+,High arch,Adidas,Balanced (2/3),N/A,"Cushioned, Breathable, Comfortable, Cheap",Flexible (4/5),10mm,20mm,10mm,$100,"Underpronation, Supination, Neutral Pronation","2019, Hide previous models",Heel strike,N/A,Road,Medium,"Walking, All-day wear, Treadmill, Jogging",N/A,12.5oz,Normal
Hoka Rincon 3,High arch,Hoka,Plush (3/3),N/A,"Cushioned, Breathable, Comfortable",Flexible (4/5),24mm,29mm,5mm,$115,"Underpronation, Supination, Neutral Pronation","2021, Hide previous models",Forefoot/Midfoot strike,N/A,Road,Wide,"Walking, All-day wear, Treadmill, Jogging",N/A,7.4oz,"Narrow, Normal, Wide"
Salomon Speedcross 6,High arch,Salomon,Firm (1/3),Long distance,"Cushioned, For beginners",Moderate (3/5),22mm,32mm,10mm,$140,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Trail,Narrow,"Mud, Fell running",N/A,10.5oz,"Normal, Wide"
Nike Pegasus Trail 3,High arch,Nike,Balanced (2/3),"Marathon, Long distance","Cushioned, For beginners, Comfortable",Flexible (4/5),26mm,36mm,10mm,$130,"Underpronation, Supination, Neutral Pronation","2021, Hide previous models",Heel strike,N/A,Trail,Medium,"Hiking, Walking",N/A,11.3oz,Normal
Mizuno Wave Rider 25,High arch,Mizuno,Balanced (2/3),Long distance,"Cushioned, Sustainable, Comfortable",Flexible (4/5),24mm,36mm,12mm,$135,"Underpronation, Supination, Neutral Pronation",2021,Heel strike,N/A,Road,Medium,Jogging,N/A,9.8oz,"Normal, Wide"
Brooks Launch 9,High arch,Brooks,Balanced (2/3),Long distance,"Cushioned, Sustainable, For beginners, Comfortable",Moderate (3/5),26mm,36mm,10mm,$110,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models",Heel strike,N/A,Road,Medium,"All-day wear, Walking, Jogging",N/A,8.1oz,"Normal, Wide"
Nike Pegasus Turbo Next Nature,High arch,Nike,Balanced (2/3),N/A,"Cushioned, Sustainable, Comfortable, Winter",Flexible (4/5),22mm,32mm,10mm,$150,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,Jogging,N/A,9.7oz,Normal
PUMA Deviate Nitro 2,High arch,PUMA,Plush (3/3),"Marathon, Long distance","Cushioned, Orthotic friendly, Breathable, Carbon fiber plate, Comfortable",Stiff (2/5),N/A,N/A,6mm,$160,"Underpronation, Supination, Neutral Pronation","2022, Hide previous models","Forefoot/Midfoot strike, Heel strike",N/A,Road,Medium,"Treadmill, Jogging",N/A,9.2oz,"Normal, Wide"
Hoka Tecton X,High arch,Hoka,Firm,"Long distance, Marathon, Ultra","Cushioned, Comfortable, Carbon fiber plate, Breathable, Expensive",Moderate,N/A,N/A,N/A,$200,"Neutral pronation, Supination, Underpronation","2022, Hide previous models",N/A,Vibram,Trail,Medium,Hiking,N/A,8.9oz,N/A
ASICS Novablast,High arch,ASICS,Plush,"Long distance, Marathon","Cushioned, Comfortable, Breathable",Flexible,N/A,N/A,9mm - 12mm,$130,"Neutral pronation, Supination, Underpronation",2020,Heel strike,N/A,Road,Narrow,"Jogging, All-day wear, Treadmill",N/A,9.2oz,N/A
Saucony Kinvara 13,High arch,Saucony,Balanced (2/3),Long distance,"Cushioned, Breathable, Sustainable, For beginners, Comfortable",Flexible (4/5),24.5mm,28.5mm,4mm,$120,"Underpronation, Supination, Neutral Pronation",2022,Forefoot/Midfoot strike,N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,7.2oz,"Normal, Wide"
ASICS Gel Kayano 29,Low arch,ASICS,Balanced,Long distance,"Cushioned, Comfortable, Breathable, Sustainable",Moderate,N/A,N/A,9mm - 12mm,$160,Overpronation,"2022, Hide previous models",Heel strike,N/A,Road,Wide,"Jogging, Walking, All-day wear",N/A,10.5oz,N/A
ASICS Gel Venture 8,High arch,ASICS,Firm (1/3),Long distance,"Cushioned, Breathable, Cheap",Flexible (4/5),N/A,N/A,10mm,$70,"Underpronation, Supination, Neutral Pronation","2021, Hide previous models",Heel strike,N/A,Trail,Narrow,Hiking,N/A,12.5oz,"Normal, Wide, X-Wide"
ASICS GT 2000 10,Low arch,ASICS,Balanced,N/A,"Cushioned, Comfortable, Cheap",Moderate,N/A,N/A,5mm - 8mm,$100,Overpronation,2021,"Forefoot/Midfoot strike, Heel strike",N/A,Road,Wide,"Jogging, Walking, All-day wear",N/A,9.9oz,N/A
Adidas Ultraboost 21,High arch,Adidas,Plush (3/3),Long distance,"Cushioned, Orthotic friendly, Breathable, Removable insole, Comfortable",Moderate (3/5),20.5mm,30.5mm,10mm,$180,"Underpronation, Supination, Neutral Pronation",2021,Heel strike,N/A,Road,Medium,"Walking, All-day wear, Treadmill, Jogging",N/A,12oz,Normal
Adidas Ultraboost 20,High arch,Adidas,Plush,N/A,"Cushioned, Comfortable, Breathable",Flexible,N/A,N/A,9mm - 12mm,$180,"Neutral pronation, Supination, Underpronation",2020,Heel strike,N/A,Road,Medium,"Jogging, Walking, All-day wear, Treadmill",N/A,10.9oz,N/A
Altra Olympus 4.0,High arch,Altra,Plush (3/3),"Marathon, Long distance, Ultra","Cushioned, Breathable, Rock plate, Comfortable",Moderate (3/5),33mm,33mm,0mm,$170,"Underpronation, Supination, Neutral Pronation",2020,Forefoot/Midfoot strike,Vibram,Trail,Extra Wide,"Fell running, Off-trail, Hiking",N/A,11.6oz,"Normal, Wide"
Nike Wildhorse 7,High arch,Nike,Firm (1/3),Long distance,"Cushioned, Rock plate",Stiff (2/5),22mm,30mm,8mm,$130,"Underpronation, Supination, Neutral Pronation",2021,"Forefoot/Midfoot strike, Heel strike",N/A,Trail,Medium,Off-trail,N/A,11oz,Normal
Salomon XA Pro 3D,Low arch,Salomon,Firm (1/3),"Marathon, Long distance",Cushioned,Moderate (3/5),N/A,21mm,10mm,$130,Overpronation,2018 or older,Heel strike,N/A,Trail,Medium,"Off-trail, Hiking, Walking",N/A,14.5oz,"Normal, Wide"
Brooks Launch 8,High arch,Brooks,Balanced (2/3),Long distance,"Cushioned, Orthotic friendly, Breathable, Removable insole, Comfortable, Cheap",Moderate (3/5),16mm,26mm,10mm,$100,"Underpronation, Supination, Neutral Pronation",2020,Heel strike,N/A,Road,Medium,"All-day wear, Walking, Treadmill, Jogging",N/A,8.8oz,"Normal, Wide"
